Date, Open, High, Low, Close
06/27/17, 7446.80, 7451.68, 7411.36, 7434.36
06/26/17, 7424.13, 7480.95, 7424.13, 7446.80
06/23/17, 7439.29, 7441.79, 7396.75, 7424.13
06/22/17, 7447.79, 7448.48, 7398.83, 7439.29
06/21/17, 7472.71, 7477.17, 7417.45, 7447.79
06/20/17, 7523.81, 7561.07, 7472.71, 7472.71
06/19/17, 7463.54, 7537.84, 7463.54, 7523.81
06/16/17, 7419.36, 7478.99, 7419.36, 7463.54
06/15/17, 7474.40, 7474.51, 7377.86, 7419.36
06/14/17, 7500.44, 7545.07, 7474.40, 7474.40
06/13/17, 7511.87, 7540.05, 7491.86, 7500.44
06/12/17, 7527.33, 7540.53, 7483.61, 7511.87
06/09/17, 7449.98, 7545.12, 7449.73, 7527.33
06/08/17, 7478.62, 7489.66, 7449.98, 7449.98
06/07/17, 7524.95, 7555.62, 7476.33, 7478.62
06/06/17, 7525.76, 7527.64, 7502.83, 7524.95
06/05/17, 7547.63, 7562.00, 7519.06, 7525.76
06/02/17, 7543.77, 7598.99, 7539.96, 7547.63
06/01/17, 7519.95, 7558.63, 7518.32, 7543.77
05/31/17, 7526.51, 7586.45, 7519.68, 7519.95
05/30/17, 7547.63, 7547.65, 7497.07, 7526.51
05/29/17, 7547.63, 7554.21, 7514.39, 7547.63
05/26/17, 7517.71, 7554.21, 7514.39, 7547.63
05/25/17, 7514.90, 7529.74, 7497.07, 7517.71
05/24/17, 7485.29, 7519.58, 7475.11, 7514.90
05/23/17, 7496.34, 7521.94, 7485.29, 7485.29
05/22/17, 7470.71, 7518.12, 7470.71, 7496.34
05/19/17, 7436.42, 7480.28, 7436.42, 7470.71
05/18/17, 7503.47, 7503.68, 7389.26, 7436.42
05/17/17, 7522.03, 7532.95, 7478.88, 7503.47
05/16/17, 7454.37, 7533.70, 7452.44, 7522.03
05/15/17, 7435.39, 7460.20, 7434.24, 7454.37
05/12/17, 7386.63, 7435.39, 7381.74, 7435.39
05/11/17, 7385.24, 7396.19, 7369.23, 7386.63
05/10/17, 7342.21, 7398.58, 7331.30, 7385.24
05/09/17, 7300.86, 7359.61, 7300.86, 7342.21
05/08/17, 7297.43, 7322.32, 7285.76, 7300.86
05/05/17, 7248.10, 7297.43, 7222.81, 7297.43
05/04/17, 7234.53, 7280.70, 7226.07, 7248.10
05/03/17, 7250.05, 7250.05, 7218.56, 7234.53
05/02/17, 7203.94, 7254.32, 7203.94, 7250.05
05/01/17, 7203.94, 7243.31, 7197.28, 7203.94
04/28/17, 7237.17, 7243.31, 7197.28, 7203.94
04/27/17, 7288.72, 7289.38, 7224.35, 7237.17
04/26/17, 7275.64, 7302.57, 7262.32, 7288.72
04/25/17, 7264.68, 7290.82, 7258.74, 7275.64
04/24/17, 7114.55, 7273.90, 7114.55, 7264.68
04/21/17, 7118.54, 7134.53, 7104.22, 7114.55
04/20/17, 7114.36, 7127.58, 7096.83, 7118.54
04/19/17, 7147.50, 7151.18, 7114.36, 7114.36
04/18/17, 7327.59, 7327.59, 7147.50, 7147.50
04/17/17, 7327.59, 7348.99, 7298.85, 7327.59
04/14/17, 7327.59, 7348.99, 7298.85, 7327.59
04/13/17, 7348.99, 7348.99, 7298.85, 7327.59
04/12/17, 7365.50, 7402.42, 7348.84, 7348.99
04/11/17, 7348.94, 7406.35, 7332.59, 7365.50
04/10/17, 7349.37, 7359.25, 7337.01, 7348.94
04/07/17, 7303.20, 7349.37, 7284.73, 7349.37
04/06/17, 7331.68, 7331.68, 7258.11, 7303.20
04/05/17, 7321.82, 7362.59, 7321.82, 7331.68
04/04/17, 7282.69, 7324.60, 7282.69, 7321.82
04/03/17, 7322.92, 7350.30, 7280.76, 7282.69
03/31/17, 7369.52, 7369.55, 7322.92, 7322.92
03/30/17, 7373.72, 7384.80, 7340.25, 7369.52
03/29/17, 7343.42, 7373.72, 7313.90, 7373.72
03/28/17, 7293.50, 7349.59, 7285.80, 7343.42
03/27/17, 7336.82, 7336.82, 7255.78, 7293.50
03/24/17, 7340.71, 7351.60, 7322.86, 7336.82
03/23/17, 7324.72, 7346.40, 7307.65, 7340.71
03/22/17, 7378.34, 7378.40, 7301.83, 7324.72
03/21/17, 7429.81, 7440.85, 7360.67, 7378.34
03/20/17, 7424.96, 7433.68, 7399.97, 7429.81
03/17/17, 7415.95, 7447.00, 7402.64, 7424.96
03/16/17, 7368.64, 7444.62, 7368.64, 7415.95
03/15/17, 7357.85, 7383.33, 7357.58, 7368.64
03/14/17, 7367.08, 7386.17, 7339.27, 7357.85
03/13/17, 7343.08, 7377.41, 7342.02, 7367.08
03/10/17, 7314.96, 7373.00, 7314.96, 7343.08
03/09/17, 7334.61, 7336.26, 7263.62, 7314.96
03/08/17, 7338.99, 7354.47, 7315.86, 7334.61
03/07/17, 7350.12, 7363.74, 7335.27, 7338.99
03/06/17, 7374.26, 7374.26, 7338.94, 7350.12
03/03/17, 7382.35, 7382.36, 7353.64, 7374.26
03/02/17, 7382.90, 7394.61, 7372.68, 7382.35
03/01/17, 7263.44, 7383.05, 7263.44, 7382.90
02/28/17, 7253.00, 7284.20, 7246.60, 7263.44
02/27/17, 7243.70, 7285.19, 7239.66, 7253.00
02/24/17, 7271.37, 7271.86, 7192.45, 7243.70
02/23/17, 7302.25, 7310.05, 7262.94, 7271.37
02/22/17, 7274.83, 7314.26, 7274.71, 7302.25
02/21/17, 7299.86, 7318.98, 7267.49, 7274.83
02/20/17, 7299.96, 7329.56, 7283.29, 7299.86
02/17/17, 7277.92, 7307.14, 7253.16, 7299.96
02/16/17, 7302.41, 7302.41, 7260.74, 7277.92
02/15/17, 7268.56, 7313.44, 7268.56, 7302.41
02/14/17, 7278.92, 7292.65, 7251.81, 7268.56
02/13/17, 7258.75, 7298.47, 7257.67, 7278.92
02/10/17, 7229.50, 7274.80, 7229.45, 7258.75
02/09/17, 7188.82, 7238.74, 7183.14, 7229.50
02/08/17, 7186.22, 7195.94, 7147.18, 7188.82
02/07/17, 7172.15, 7227.22, 7159.57, 7186.22
02/06/17, 7188.30, 7208.73, 7165.17, 7172.15
02/03/17, 7140.75, 7202.37, 7133.63, 7188.30
02/02/17, 7107.65, 7163.94, 7093.57, 7140.75
02/01/17, 7099.15, 7170.24, 7099.15, 7107.65
01/31/17, 7118.48, 7162.53, 7099.15, 7099.15
01/30/17, 7184.49, 7184.70, 7105.67, 7118.48
01/27/17, 7161.49, 7184.73, 7150.76, 7184.49
01/26/17, 7164.43, 7184.75, 7151.34, 7161.49
01/25/17, 7150.34, 7205.68, 7150.34, 7164.43
01/24/17, 7151.18, 7190.15, 7144.44, 7150.34
01/23/17, 7198.44, 7198.44, 7131.46, 7151.18
01/20/17, 7208.44, 7221.01, 7193.73, 7198.44
01/19/17, 7247.61, 7249.63, 7191.67, 7208.44
01/18/17, 7220.38, 7260.47, 7218.41, 7247.61
01/17/17, 7327.13, 7329.27, 7220.38, 7220.38
01/16/17, 7337.81, 7354.14, 7320.47, 7327.13
01/13/17, 7292.37, 7338.49, 7292.37, 7337.81
01/12/17, 7290.49, 7302.34, 7263.42, 7292.37
01/11/17, 7275.47, 7328.51, 7257.15, 7290.49
01/10/17, 7237.77, 7284.81, 7237.29, 7275.47
01/09/17, 7210.05, 7243.76, 7207.40, 7237.77
01/06/17, 7195.31, 7210.05, 7180.64, 7210.05
01/05/17, 7189.74, 7211.96, 7172.77, 7195.31
01/04/17, 7177.89, 7189.74, 7168.77, 7189.74
01/03/17, 7142.83, 7205.45, 7142.83, 7177.89
01/02/17, 7142.83, 7142.83, 7087.54, 7142.83
12/30/16, 7120.26, 7142.83, 7087.54, 7142.83
12/29/16, 7106.08, 7120.26, 7074.47, 7120.26
12/28/16, 7068.17, 7109.37, 7060.85, 7106.08
12/27/16, 7068.17, 7071.11, 7054.64, 7068.17
12/26/16, 7068.17, 7071.11, 7054.64, 7068.17
12/23/16, 7063.68, 7071.11, 7054.64, 7068.17
12/22/16, 7041.42, 7063.68, 7020.13, 7063.68
12/21/16, 7043.96, 7056.98, 7025.68, 7041.42
12/20/16, 7017.16, 7045.22, 6992.62, 7043.96
12/19/16, 7011.64, 7025.74, 6986.44, 7017.16
12/16/16, 6999.01, 7038.43, 6990.35, 7011.64
12/15/16, 6949.19, 7010.48, 6925.88, 6999.01
12/14/16, 6968.57, 6970.52, 6941.95, 6949.19
12/13/16, 6890.42, 6977.99, 6877.52, 6968.57
12/12/16, 6954.21, 6976.78, 6875.43, 6890.42
12/09/16, 6931.55, 6962.25, 6929.46, 6954.21
12/08/16, 6902.23, 6937.51, 6892.17, 6931.55
12/07/16, 6779.84, 6902.23, 6779.84, 6902.23
12/06/16, 6746.83, 6785.32, 6723.05, 6779.84
12/05/16, 6730.72, 6799.50, 6697.65, 6746.83
12/02/16, 6752.93, 6752.93, 6678.74, 6730.72
12/01/16, 6783.79, 6789.30, 6688.41, 6752.93
11/30/16, 6772.00, 6845.74, 6765.23, 6783.79
11/29/16, 6799.47, 6800.91, 6729.36, 6772.00
11/28/16, 6840.75, 6840.96, 6769.77, 6799.47
11/25/16, 6829.20, 6852.14, 6818.12, 6840.75
11/24/16, 6817.71, 6831.23, 6790.69, 6829.20
