"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2015","8,295.94","8,194.30","8,317.79","8,170.78","2.11B","1.40%"
"Sep 30, 2015","8,181.24","8,097.15","8,181.24","8,059.68","2.28B","0.60%"
"Sep 25, 2015","8,132.35","8,131.49","8,152.50","8,061.87","1.65B","0.11%"
"Sep 24, 2015","8,123.10","8,224.23","8,257.14","8,101.90","1.96B","-0.86%"
"Sep 23, 2015","8,193.42","8,310.82","8,310.82","8,186.22","1.93B","-2.06%"
"Sep 22, 2015","8,365.92","8,331.44","8,365.92","8,325.78","1.76B","0.71%"
"Sep 21, 2015","8,307.04","8,404.50","8,404.50","8,285.43","1.81B","-1.83%"
"Sep 18, 2015","8,462.14","8,427.52","8,488.53","8,399.71","2.30B","0.20%"
"Sep 17, 2015","8,445.50","8,377.31","8,467.15","8,377.31","2.32B","1.35%"
"Sep 16, 2015","8,333.29","8,298.13","8,342.36","8,276.94","1.86B","0.89%"
"Sep 15, 2015","8,259.99","8,320.22","8,327.95","8,226.07","1.62B","-0.57%"
"Sep 14, 2015","8,307.29","8,332.57","8,360.03","8,259.31","1.77B","0.02%"
"Sep 11, 2015","8,305.82","8,271.25","8,313.18","8,233.14","1.84B","0.45%"
"Sep 10, 2015","8,268.68","8,247.64","8,274.82","8,214.50","2.04B","-0.22%"
"Sep 09, 2015","8,286.92","8,097.22","8,296.13","8,097.22","2.75B","3.57%"
"Sep 08, 2015","8,001.50","7,993.10","8,031.26","7,978.78","1.50B","0.19%"
"Sep 07, 2015","7,986.56","7,990.76","8,053.20","7,957.80","1.50B","-0.18%"
"Sep 04, 2015","8,000.60","8,087.62","8,128.23","7,990.86","2.33B","-1.18%"
"Sep 03, 2015","8,095.95","8,071.37","8,101.13","8,007.48","2.44B","0.75%"
"Sep 02, 2015","8,035.29","7,970.40","8,068.06","7,907.31","2.20B","0.22%"
"Sep 01, 2015","8,017.56","8,117.50","8,119.90","8,002.18","2.18B","-1.92%"
"Aug 31, 2015","8,174.92","8,026.62","8,174.92","7,961.77","2.65B","1.94%"
"Aug 28, 2015","8,019.18","7,923.77","8,039.76","7,923.77","2.57B","2.49%"
"Aug 27, 2015","7,824.55","7,762.63","7,856.40","7,762.63","2.63B","1.41%"
"Aug 26, 2015","7,715.59","7,636.12","7,762.45","7,547.61","2.50B","0.52%"
"Aug 25, 2015","7,675.64","7,427.36","7,677.93","7,368.47","3.02B","3.58%"
"Aug 24, 2015","7,410.34","7,719.63","7,719.63","7,203.07","3.91B","-4.84%"
"Aug 21, 2015","7,786.92","7,941.95","7,941.95","7,786.92","2.55B","-3.02%"
"Aug 20, 2015","8,029.81","8,008.68","8,063.80","7,951.72","2.05B","0.10%"
"Aug 19, 2015","8,021.84","8,182.81","8,182.81","7,987.57","2.56B","-1.90%"
"Aug 18, 2015","8,177.22","8,237.08","8,277.22","8,166.77","1.91B","-0.44%"
"Aug 17, 2015","8,213.42","8,307.90","8,308.54","8,213.42","1.73B","-1.11%"
"Aug 14, 2015","8,305.64","8,315.14","8,343.98","8,283.35","1.77B","-0.07%"
