"Date","Price","Open","High","Low","Change %"
"Jul 03, 2013","60.226","59.875","60.456","59.865","1.13%"
"Jul 02, 2013","59.555","59.385","59.730","59.185","0.29%"
"Jul 01, 2013","59.385","59.470","59.603","58.966","-0.25%"
"Jun 28, 2013","59.533","60.110","60.110","59.210","-1.10%"
"Jun 27, 2013","60.195","60.625","60.630","60.105","-0.86%"
"Jun 26, 2013","60.720","59.605","60.765","59.605","1.77%"
"Jun 25, 2013","59.665","59.765","59.795","59.435","-0.25%"
"Jun 24, 2013","59.815","59.600","59.840","59.545","0.91%"
"Jun 21, 2013","59.275","59.525","59.785","59.150","-0.50%"
"Jun 20, 2013","59.575","59.615","59.980","59.505","1.46%"
"Jun 19, 2013","58.720","58.765","58.925","58.620","-0.21%"
"Jun 18, 2013","58.845","58.015","58.885","58.015","1.26%"
"Jun 17, 2013","58.110","57.700","58.110","57.560","1.05%"
"Jun 14, 2013","57.505","57.965","57.965","57.410","-0.86%"
"Jun 13, 2013","58.005","58.115","58.575","57.935","0.29%"
"Jun 12, 2013","57.835","58.285","58.398","57.735","-0.87%"
"Jun 11, 2013","58.340","58.110","58.990","58.030","0.32%"
"Jun 10, 2013","58.155","57.255","58.160","57.162","1.91%"
"Jun 07, 2013","57.065","56.845","57.135","56.688","0.24%"
"Jun 06, 2013","56.930","56.730","57.010","56.690","0.13%"
"Jun 05, 2013","56.855","56.450","56.855","56.315","0.64%"
"Jun 04, 2013","56.495","56.665","56.750","56.415","-0.32%"
"Jun 03, 2013","56.675","56.515","56.840","56.430","0.17%"
"May 31, 2013","56.580","56.290","56.770","56.290","0.35%"
"May 30, 2013","56.385","56.205","56.470","56.045","0.14%"
"May 29, 2013","56.305","56.015","56.415","56.015","0.34%"
"May 28, 2013","56.115","55.705","56.135","55.645","0.98%"
"May 27, 2013","55.573","55.755","55.785","55.525","-0.44%"
"May 24, 2013","55.820","55.650","55.830","55.455","0.19%"
"May 23, 2013","55.715","55.615","56.025","55.555","0.10%"
"May 22, 2013","55.660","55.418","55.670","55.310","0.41%"
"May 21, 2013","55.435","55.115","55.485","54.955","0.72%"
"May 20, 2013","55.040","55.060","55.145","54.958","0.26%"
"May 17, 2013","54.895","54.805","55.007","54.790","0.20%"
"May 16, 2013","54.785","54.765","54.910","54.660","0.00%"
"May 15, 2013","54.785","54.785","54.915","54.655","-0.04%"
"May 14, 2013","54.805","54.765","54.840","54.550","-0.05%"
"May 13, 2013","54.835","54.913","55.035","54.715","0.05%"
"May 10, 2013","54.810","54.250","54.900","54.250","0.82%"
"May 09, 2013","54.365","54.165","54.365","54.032","0.52%"
"May 08, 2013","54.085","54.140","54.220","54.020","0.04%"
"May 07, 2013","54.065","54.180","54.370","54.035","-0.13%"
"May 06, 2013","54.135","53.815","54.255","53.785","0.60%"
"May 03, 2013","53.810","53.830","54.070","53.770","-0.05%"
"May 02, 2013","53.835","53.745","53.965","53.675","0.32%"
"May 01, 2013","53.665","53.815","53.815","53.645","-0.04%"
"Apr 30, 2013","53.685","54.235","54.255","53.655","-0.94%"
"Apr 29, 2013","54.195","54.413","54.413","54.173","-0.34%"
"Apr 26, 2013","54.380","54.225","54.445","54.082","0.51%"
"Apr 25, 2013","54.105","54.285","54.285","54.105","-0.29%"
"Apr 24, 2013","54.260","54.380","54.380","54.162","-0.09%"
"Apr 23, 2013","54.310","54.140","54.430","54.090","0.18%"
"Apr 22, 2013","54.210","53.930","54.250","53.930","0.50%"
"Apr 19, 2013","53.940","53.960","54.043","53.850","-0.17%"
"Apr 18, 2013","54.030","54.220","54.258","53.910","-0.28%"
"Apr 17, 2013","54.180","54.160","54.250","53.770","0.39%"
"Apr 16, 2013","53.970","54.640","54.640","53.970","-1.06%"
"Apr 15, 2013","54.550","54.608","54.805","54.380","0.06%"
"Apr 12, 2013","54.520","54.310","54.665","54.310","0.40%"
"Apr 11, 2013","54.305","54.520","54.520","54.255","-0.21%"
"Apr 10, 2013","54.420","54.590","54.590","54.400","-0.11%"
"Apr 09, 2013","54.480","54.570","54.665","54.410","-0.24%"
"Apr 08, 2013","54.610","54.798","54.850","54.490","-0.36%"
"Apr 05, 2013","54.810","54.815","54.918","54.685","-0.15%"
"Apr 04, 2013","54.890","54.440","54.950","54.350","0.66%"
"Apr 03, 2013","54.530","54.378","54.540","54.310","0.18%"
"Apr 02, 2013","54.430","54.300","54.460","54.250","0.48%"
"Apr 01, 2013","54.170","54.270","54.270","54.170","-0.21%"
"Mar 29, 2013","54.285","54.285","54.285","54.285","0.00%"
"Mar 28, 2013","54.285","54.385","54.475","54.270","-0.27%"
"Mar 27, 2013","54.430","54.370","54.490","54.280","-0.09%"
"Mar 26, 2013","54.480","54.170","54.520","54.160","0.33%"
"Mar 25, 2013","54.300","54.360","54.360","54.060","-0.09%"
"Mar 22, 2013","54.350","54.290","54.435","54.256","-0.18%"
"Mar 21, 2013","54.450","54.350","54.460","54.195","0.22%"
"Mar 20, 2013","54.330","54.375","54.570","54.265","-0.31%"
"Mar 19, 2013","54.500","54.070","54.530","53.900","0.78%"
"Mar 18, 2013","54.080","54.010","54.350","54.010","0.09%"
"Mar 15, 2013","54.030","54.355","54.355","53.980","-0.29%"
"Mar 14, 2013","54.185","54.405","54.525","54.165","-0.34%"
"Mar 13, 2013","54.370","54.160","54.450","54.020","0.41%"
"Mar 12, 2013","54.150","54.415","54.428","54.075","-0.35%"
"Mar 11, 2013","54.340","54.330","54.531","54.172","-0.02%"
"Mar 08, 2013","54.350","54.560","54.573","54.275","-0.20%"
"Mar 07, 2013","54.460","54.725","54.910","54.430","-0.64%"
"Mar 06, 2013","54.810","54.920","54.920","54.620","-0.26%"
"Mar 05, 2013","54.955","54.865","54.955","54.615","-0.01%"
"Mar 04, 2013","54.960","54.890","55.140","54.800","0.10%"
"Mar 01, 2013","54.905","54.365","54.945","54.305","0.98%"
"Feb 28, 2013","54.370","53.865","54.520","53.605","0.94%"
"Feb 27, 2013","53.865","54.040","54.095","53.620","-0.43%"
"Feb 26, 2013","54.100","53.880","54.280","53.815","0.19%"
"Feb 25, 2013","54.000","54.275","54.305","53.840","-0.52%"
"Feb 22, 2013","54.280","54.415","54.555","54.160","-0.36%"
"Feb 21, 2013","54.475","54.080","54.615","54.080","0.74%"
"Feb 20, 2013","54.075","54.185","54.240","54.020","-0.10%"
"Feb 19, 2013","54.130","54.195","54.328","54.130","-0.25%"
"Feb 18, 2013","54.265","54.215","54.455","54.155","-0.11%"
"Feb 15, 2013","54.325","53.930","54.355","53.805","0.61%"
"Feb 14, 2013","53.995","53.848","54.035","53.665","0.32%"
"Feb 13, 2013","53.825","53.855","53.920","53.690","0.06%"
"Feb 12, 2013","53.795","53.860","54.100","53.745","-0.32%"
"Feb 11, 2013","53.965","53.515","53.985","53.515","0.69%"
"Feb 08, 2013","53.595","53.235","53.685","53.165","0.70%"
"Feb 07, 2013","53.225","53.065","53.330","53.045","0.12%"
"Feb 06, 2013","53.160","53.140","53.265","52.885","0.24%"
"Feb 05, 2013","53.035","53.215","53.415","53.005","-0.48%"
"Feb 04, 2013","53.290","53.155","53.345","52.915","0.23%"
"Feb 01, 2013","53.170","53.225","53.415","53.165","-0.20%"
"Jan 31, 2013","53.275","53.320","53.390","53.075","0.06%"
"Jan 30, 2013","53.245","53.775","53.775","53.195","-0.76%"
"Jan 29, 2013","53.655","54.035","54.035","53.555","-0.74%"
"Jan 28, 2013","54.055","53.665","54.055","53.665","0.47%"
"Jan 25, 2013","53.800","53.695","53.880","53.645","0.17%"
"Jan 24, 2013","53.710","53.740","53.900","53.600","0.07%"
"Jan 23, 2013","53.675","53.815","53.885","53.558","-0.09%"
"Jan 22, 2013","53.725","53.760","53.890","53.380","-0.09%"
"Jan 21, 2013","53.775","53.715","53.960","53.595","0.06%"
"Jan 18, 2013","53.745","54.285","54.285","53.715","-1.12%"
"Jan 17, 2013","54.355","54.695","54.780","54.195","-0.57%"
"Jan 16, 2013","54.665","54.625","54.900","54.475","0.11%"
"Jan 15, 2013","54.605","54.505","54.707","54.315","0.15%"
"Jan 14, 2013","54.525","54.770","54.835","54.420","-0.64%"
"Jan 11, 2013","54.875","54.570","54.885","54.360","0.83%"
